Model,Feature_details,RMSE,R^2_train,R^2_test,4_Fold_Validation,5_Fold_Validation,Note
Simple Linear Regression,['TS'],2.497122701529703,0.01814070577648863,0.020808726109157627,0.013768543393740423,0.015736846553089934,"Test_Size = 0.2, Number_Feature = 1"
Simple Linear Regression,['TM'],2.1988083328658536,0.18702310750727547,0.24078895577898718,0.19311602009718037,0.19407888884268915,"Test_Size = 0.2, Number_Feature = 1"
Simple Linear Regression,['F'],2.5230521916728836,0.007686225641885813,0.0003677988169973334,-0.005013217836281364,0.0021389547279213163,"Test_Size = 0.2, Number_Feature = 1"
Simple Linear Regression,['PCA'],2.330806540458722,0.1410861284250592,0.1468994439807808,0.13431817867741602,0.13757070249622017,"Test_Size = 0.2, Number_Feature = 1"
Simple Linear Regression,['DCA'],2.5216376930355517,0.001050747450496159,0.0014883321390998239,-0.0036395890436846934,-0.0014751789652605706,"Test_Size = 0.2, Number_Feature = 1"
Simple Linear Regression,['PT'],2.471809599111444,0.038817591251268935,0.04056005063972479,0.034613789039772164,0.03613598990650346,"Test_Size = 0.2, Number_Feature = 1"
Simple Linear Regression,['SD'],2.5203941202779854,0.0023775625673483347,0.002472942836690084,-0.003354642859139778,-0.0003139375493127039,"Test_Size = 0.2, Number_Feature = 1"
Simple Linear Regression,['E'],3.412610554556832,0.03158236368528311,-0.8287790086471218,-2.51749895413216,-2.4495052463488958,"Test_Size = 0.2, Number_Feature = 1"
Multiple Linear Regression,"['TS', 'TM']",2.1994715100537054,0.1873183488733169,0.2403309191541706,0.1926416154910256,0.1933071503575628,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TS', 'F']",2.4967835734583828,0.024177323011913554,0.021074671149884927,0.01299802130493255,0.01923733687822049,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TS', 'PCA']",2.3216052676034895,0.14702358694612583,0.1536216811000084,0.14037213240073393,0.14360459036267434,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TS', 'DCA']",2.4958074387200186,0.018761561091656498,0.021839956726046328,0.014133244980358367,0.016185101668474578,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TS', 'PT']",2.4481478537494756,0.05495522502902339,0.05884087989189857,0.05071753239319121,0.052166580470375215,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TS', 'SD']",2.4944227966937857,0.020203447110407002,0.022924997006784298,0.014626989608658075,0.01748556721430814,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TS', 'E']",3.3374668508380325,0.047394125278408916,-0.7491283963197526,-2.3619670483119393,-2.290657763270887,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TM', 'F']",2.199657341808369,0.1875732864187365,0.24020254595059476,0.19249799584249205,0.19402733223127439,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TM', 'PCA']",2.16535277172493,0.2250268963146137,0.2637164642069909,0.2245954070796523,0.22670726724044066,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TM', 'DCA']",2.1956899447643794,0.18836623430111865,0.2429408812799556,0.19396294542332604,0.19512525601910635,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TM', 'PT']",2.1645951047043033,0.21359770861761107,0.26423163213867484,0.21922447622088007,0.21968614782588528,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TM', 'SD']",2.1969043161876205,0.1882699151657019,0.24210323551431712,0.19365026605874153,0.19518960803013052,"Test_Size = 0.2, Number_Feature = 2"
Multiple Linear Regression,"['TM', 'E']",2.6171077549989694,0.19853420707352787,-0.07555092357352189,-0.8707561282945653,-0.8300906650724306,"Test_Size = 0.2, Number_Feature = 2"
